prob,idle,travel,feasible,allocation,clusters,permutation
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(3 3)
0.5314410000000002,0.0,10.0,-1.0,Allocation1,[['r2'  'r1']],(4 4)
0.5314410000000002,0.0,10.0,-1.0,Allocation1,[['r2'  'r1']],(1 1)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(3 3)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(2 2)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(2 2)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(3 3)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(0 0)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(3 3)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(3 3)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(5 5)
0.5314410000000002,0.0,10.0,-1.0,Allocation1,[['r2'  'r1']],(4 4)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(0 0)
0.5314410000000002,0.0,10.0,-1.0,Allocation1,[['r2'  'r1']],(4 4)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(0 0)
0.5314410000000002,0.0,10.0,-1.0,Allocation1,[['r2'  'r1']],(4 4)
0.5314410000000002,0.0,8.0,-1.0,Allocation1,[['r2'  'r1']],(2 2)
