prob,idle,travel,feasible,allocation,clusters,permutation
0.40824,24.0,46.0,-1.0,Allocation1,[['r5'  'r1']],(21 0)
0.40824,17.0,19.0,-1.0,Allocation1,[['r5'  'r1']],(7 1)
0.40824,6.0,32.0,-1.0,Allocation1,[['r5'  'r1']],(20 1)
0.40824,17.0,40.0,-1.0,Allocation1,[['r5'  'r1']],(10 0)
0.40824,17.0,33.0,-1.0,Allocation1,[['r5'  'r1']],(11 0)
0.40824,6.0,32.0,-1.0,Allocation1,[['r5'  'r1']],(20 1)
0.40824,0.0,19.0,-1.0,Allocation3,[['r1'  'r5']],(0 11)
0.40824,0.0,12.0,-1.0,Allocation3,[['r1'  'r5']],(0 7)
0.40824,0.0,26.0,-1.0,Allocation3,[['r1'  'r5']],(0 20)
prob,idle,travel,feasible,allocation,clusters,permutation
0.40824,6.0,25.0,-1.0,Allocation1,[['r5'  'r1']],(1 23)
0.40824,17.0,19.0,-1.0,Allocation1,[['r5'  'r1']],(1 7)
0.40824,24.0,46.0,-1.0,Allocation1,[['r5'  'r1']],(0 21)
0.40824,17.0,26.0,-1.0,Allocation1,[['r5'  'r1']],(1 11)
0.1666598976,26.0,38.0,-1.0,Allocation1,[['r5'  'r1']],(0 7)
0.40824,0.0,25.0,-1.0,Allocation2,[['r5'  'r1']],(0 71)
prob,idle,travel,feasible,allocation,clusters,permutation
0.40824,17.0,26.0,-1.0,Allocation1,[['r5'  'r1']],(1 11)
0.40824,6.0,25.0,-1.0,Allocation1,[['r5'  'r1']],(1 23)
0.1666598976,26.0,38.0,-1.0,Allocation1,[['r5'  'r1']],(0 7)
0.40824,17.0,33.0,-1.0,Allocation1,[['r5'  'r1']],(1 10)
0.40824,0.0,32.0,-1.0,Allocation2,[['r5'  'r1']],(0 55)
0.40824,0.0,19.0,-1.0,Allocation3,[['r1'  'r5']],(0 23)
prob,idle,travel,feasible,allocation,clusters,permutation
0.40824,17.0,33.0,-1.0,Allocation1,[['r5'  'r1']],(1 10)
0.40824,6.0,25.0,-1.0,Allocation1,[['r5'  'r1']],(1 23)
0.40824,17.0,33.0,-1.0,Allocation1,[['r5'  'r1']],(1 10)
0.40824,17.0,26.0,-1.0,Allocation1,[['r5'  'r1']],(1 11)
0.40824,13.0,26.0,-1.0,Allocation2,[['r5'  'r1']],(0 35)
0.40824,0.0,12.0,-1.0,Allocation3,[['r1'  'r5']],(7 0)
0.40824,6.0,32.0,-1.0,Allocation3,[['r1'  'r5']],(99 0)
prob,idle,travel,feasible,allocation,clusters,permutation
0.40824,17.0,33.0,-1.0,Allocation1,[['r5'  'r1']],(10 1)
0.40824,17.0,40.0,-1.0,Allocation1,[['r5'  'r1']],(10 0)
prob,idle,travel,feasible,allocation,clusters,permutation
