id,,parent,,ordered_children,,location,,numrobots,,joint,,ordered,,consecutive,,start,,end
m11,,NaN,,['ct6_1'],,NaN,,NaN,,NaN,,NaN,,NaN,,null,,null
ct6_1,,m11,,['at6_1','at6_2','at6_3','at6_4','at6_5','at6_6','at6_7','at6_8','at6_9','at6_10','at6_11','at6_12','at6_13','at6_14','at6_15','at6_16','at6_17','at6_18','at6_19','at6_20','at6_21','at6_22','at6_23','at6_24','at6_25'],,NaN,,NaN,,NaN,,true,,false,,null,,null
at6_1,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_2,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_3,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_4,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_5,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_6,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_7,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_8,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_9,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_10,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_11,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_12,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_13,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_14,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_15,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_16,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_17,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_18,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_19,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_20,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_21,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_22,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_23,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_24,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
at6_25,,ct6_1,,NaN,,room6,,1,,false,,NaN,,NaN,,null,,null
