id,,parent,,ordered_children,,location,,runbyrobot,,joint,,ordered,,consecutive
m1,,NaN,,['at3_sanit_0'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_0,,m1,,NaN,,room1,,NaN,,False,,NaN,,NaN
m2,,NaN,,['at3_sanit_1'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_1,,m2,,NaN,,room2,,NaN,,False,,NaN,,NaN
m3,,NaN,,['at3_sanit_2'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_2,,m3,,NaN,,room3,,NaN,,False,,NaN,,NaN
m4,,NaN,,['at3_sanit_3'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_3,,m4,,NaN,,room4,,NaN,,False,,NaN,,NaN
m5,,NaN,,['at3_sanit_4'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_4,,m5,,NaN,,room5,,NaN,,False,,NaN,,NaN
m6,,NaN,,['at3_sanit_5'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_5,,m6,,NaN,,room6,,NaN,,False,,NaN,,NaN
m7,,NaN,,['at3_sanit_6'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_6,,m7,,NaN,,room7,,NaN,,False,,NaN,,NaN
m8,,NaN,,['at3_sanit_7'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_7,,m8,,NaN,,room8,,NaN,,False,,NaN,,NaN
m9,,NaN,,['at3_sanit_8'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_8,,m9,,NaN,,room9,,NaN,,False,,NaN,,NaN
m10,,NaN,,['at3_sanit_9'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_9,,m10,,NaN,,room10,,NaN,,False,,NaN,,NaN
m11,,NaN,,['at3_sanit_10'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_10,,m11,,NaN,,room11,,NaN,,False,,NaN,,NaN
m12,,NaN,,['at3_sanit_11'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_11,,m12,,NaN,,room12,,NaN,,False,,NaN,,NaN
m13,,NaN,,['at3_sanit_12'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_12,,m13,,NaN,,room13,,NaN,,False,,NaN,,NaN
m14,,NaN,,['at3_sanit_13'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_13,,m14,,NaN,,room14,,NaN,,False,,NaN,,NaN
m15,,NaN,,['at3_sanit_14'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_14,,m15,,NaN,,room15,,NaN,,False,,NaN,,NaN
m16,,NaN,,['at3_sanit_15'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_15,,m16,,NaN,,room16,,NaN,,False,,NaN,,NaN
m17,,NaN,,['at3_sanit_16'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_16,,m17,,NaN,,room17,,NaN,,False,,NaN,,NaN
m18,,NaN,,['at3_sanit_17'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_17,,m18,,NaN,,room18,,NaN,,False,,NaN,,NaN
m19,,NaN,,['at3_sanit_18'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_18,,m19,,NaN,,room19,,NaN,,False,,NaN,,NaN
m20,,NaN,,['at3_sanit_19'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_19,,m20,,NaN,,room20,,NaN,,False,,NaN,,NaN
m21,,NaN,,['at3_sanit_20'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_20,,m21,,NaN,,room21,,NaN,,False,,NaN,,NaN
m22,,NaN,,['at3_sanit_21'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_21,,m22,,NaN,,room22,,NaN,,False,,NaN,,NaN
m23,,NaN,,['at3_sanit_22'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_22,,m23,,NaN,,room23,,NaN,,False,,NaN,,NaN
m24,,NaN,,['at3_sanit_23'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_23,,m24,,NaN,,room24,,NaN,,False,,NaN,,NaN
m25,,NaN,,['at3_sanit_24'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_24,,m25,,NaN,,room25,,NaN,,False,,NaN,,NaN
m26,,NaN,,['at3_sanit_25'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_25,,m26,,NaN,,room26,,NaN,,False,,NaN,,NaN
m27,,NaN,,['at3_sanit_26'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_26,,m27,,NaN,,room27,,NaN,,False,,NaN,,NaN
m28,,NaN,,['at3_sanit_27'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_27,,m28,,NaN,,room28,,NaN,,False,,NaN,,NaN
m29,,NaN,,['at3_sanit_28'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_28,,m29,,NaN,,room29,,NaN,,False,,NaN,,NaN
m30,,NaN,,['at3_sanit_29'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_29,,m30,,NaN,,room30,,NaN,,False,,NaN,,NaN
m31,,NaN,,['at3_sanit_30'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_30,,m31,,NaN,,room31,,NaN,,False,,NaN,,NaN
m32,,NaN,,['at3_sanit_31'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_31,,m32,,NaN,,room32,,NaN,,False,,NaN,,NaN
m33,,NaN,,['at3_sanit_32'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_32,,m33,,NaN,,room33,,NaN,,False,,NaN,,NaN
m34,,NaN,,['at3_sanit_33'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_33,,m34,,NaN,,room34,,NaN,,False,,NaN,,NaN
m35,,NaN,,['at3_sanit_34'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_34,,m35,,NaN,,room35,,NaN,,False,,NaN,,NaN
m36,,NaN,,['at3_sanit_35'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_35,,m36,,NaN,,room36,,NaN,,False,,NaN,,NaN
m37,,NaN,,['at3_sanit_36'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_36,,m37,,NaN,,room37,,NaN,,False,,NaN,,NaN
m38,,NaN,,['at3_sanit_37'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_37,,m38,,NaN,,room38,,NaN,,False,,NaN,,NaN
m39,,NaN,,['at3_sanit_38'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_38,,m39,,NaN,,room39,,NaN,,False,,NaN,,NaN
m40,,NaN,,['at3_sanit_39'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_39,,m40,,NaN,,room40,,NaN,,False,,NaN,,NaN
m41,,NaN,,['at3_sanit_40'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_40,,m41,,NaN,,room41,,NaN,,False,,NaN,,NaN
m42,,NaN,,['at3_sanit_41'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_41,,m42,,NaN,,room42,,NaN,,False,,NaN,,NaN
m43,,NaN,,['at3_sanit_42'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_42,,m43,,NaN,,room43,,NaN,,False,,NaN,,NaN
m44,,NaN,,['at3_sanit_43'],,NaN,,NaN,,NaN,,NaN,,NaN
